"position","videoId","seen","published","title","description"
"3","s5ZX1a0KvMc","False","2/25/2013 7:40:06 AM +00:00","Аты-баты. Выпуск 5. Святослав","Жил когда-то на земле великий полководец Александр Македонский. Много земель он завоевал и присоединил к своему царству. Но ведь и у нас на русской земле был свой ратник — великий князь киевский Святослав Игоревич! Нисколько Македонскому он в военном деле не уступал!. Остальные выпуски смотрите здесь: http://radostmoya.ru/project/aty_baty/video/"
"4","CjNYGyamatQ","False","2/25/2013 7:40:06 AM +00:00","Аты-баты. Выпуск 6. Татаро-монгольское иго","Почти два века тяготело над Русью татаро-монгольское иго. А в 1480 году встали на берегах реки Угры два войска — русское и татарское. Месяц стояли воины, но никто атаковать друг друга так и не решился. Развернулись оба войска да и отправились восвояси. Закончилось татаро-монгольское иго без всякого сражения. Остальные выпуски смотрите здесь: http://radostmoya.ru/project/aty_baty/video/"
"2","aExVe7UW3mE","False","2/25/2013 7:40:06 AM +00:00","Аты-баты. Выпуск 3. Славяне","В 10-м веке на ворота Царь-града, столицы могущественной Византийской империи, князь Олег прибил свой боевой щит. Это была самая бескровная победа русского оружия. О воинах Киевской Руси узнали во всем мире. Как это случилось, расскажет вам сегодня наш бывалый солдат. Остальные выпуски смотрите здесь: http://radostmoya.ru/project/aty_baty/video/"
"0","Afo4yn7dcv0","False","2/25/2013 7:40:06 AM +00:00","Аты-баты. Выпуск 1. Пётр I","Бывалый солдат рассказывает о Петре I, потешных войсках, первых солдатах на Руси. Остальные выпуски смотрите здесь: http://radostmoya.ru/project/aty_baty/video/"
"1","0RFqWG2j6tQ","False","2/25/2013 7:40:06 AM +00:00","Аты-баты. Выпуск 2. Великие битвы","Бывалый солдат рассказывает о Куликовской битве, Бородинском сражении, Великой Отечественной войне. Остальные выпуски смотрите здесь: http://radostmoya.ru/project/aty_baty/video/"
"9","Y6vsjrr80zw","False","3/6/2013 6:44:11 AM +00:00","Аты-баты. Выпуск 9. Михаил Илларионович Кутузов","Было время, когда французский император Наполеон захотел завоевать весь мир. Даже до Москвы дошёл! Однако русский полководец Михаил Илларионович Кутузов такой отпор дал врагу, что французы его надолго запомнили. Михаил Илларионович родился в 1745 году в старинной дворянской семье. До 12 лет он, как и многие юные дворяне того времени, учился дома. А потом родители отправили его в Петербургскую артиллерийско-инженерную школу учиться военным и гражданским наукам. Учился Кутузов старательно и такие способности проявил, что школу раньше срока окончил, да ещё и стал там учителем работать. А в 14 лет получил свой первый офицерский чин! Он участвовал во многих сражениях. Вместе с солдатами в атаку ходил, ничего не боялся. В одной из атак он свое первое боевое ранение получил. Пуля прошла в левый висок, а вышла около правого глаза. Глаз видеть перестал, но Кутузов остался жив! Доктора удивлялись его богатырскому здоровью, а он будто знал, что надо жить, Россию спасать! В 1812 году Кутузову исполнилось 67 лет. И, тем не менее, его назначили главнокомандующим русской армией. Хоть и трудно было, а французов в 1812 году погнали мы прочь из России. Остальные выпуски смотрите здесь:. http://radostmoya.ru/project/aty_baty/video/"
"10","nb0dp1wz4Y4","False","3/6/2013 6:44:11 AM +00:00","Аты-баты. Выпуск 8. Полководец Александр Суворов","Во время одной из русско-турецких войн встретились на поле брани неприступная крепость Измаил и непобедимый полководец Суворов. Как не хвастались турки, а разбил их Суворов за один день! Суворов начал готовить себя к трудной солдатской службе с детства. Наступят, бывало, зимние холода, все оденутся в теплые шубы, а Александр накинет легкую куртку и целый день проводит на улице. Когда ему исполнилось 12 лет, он написал прошение императрице Елизавете Петровне: «..имею я желание служить Вашему Императорскому Величеству в лейб-гвардии Семеновском полку и прошу определить меня в означенный Семеновский полк солдатом». Мечтал он стать полководцем и добился-таки своего. Стал полководцем! Да еще каким! С солдатами мог сутками шагать и спать на голой земле! Воевал всегда в первых рядах и много времени тратил на обучение рекрутов разным боевым приёмам. Солдат своих называл не иначе, как «чудо-богатыри» и даже написал для них правила солдатской жизни. Побеждать, говорил он, нужно не числом, а умением. Все наши солдаты Суворова очень любили. Хоть и тяжела солдатская служба, да с таким генералом они были готовы и в огонь, и в воду идти. Его многие военные походы прославили. Не было для Александра Васильевича непреодолимых преград. И ведь ни одного сражения Суворов не проиграл! Не было больше в мире таких непобедимых полководцев, как он. Историки подсчитали, что одержал Суворов 60 побед! А правильнее было бы сказать, что 61. Потому что первая победа была - над своей слабостью и болезнями ещё в детстве. Остальные выпуски смотрите здесь:. http://radostmoya.ru/project/aty_baty/video/"
"11","6dDP8M9x4WQ","False","3/6/2013 6:44:11 AM +00:00","Аты-баты. Выпуск 7. Взятие Казани","Сто пятьдесят тысяч храбрых русских ратников, 150 артиллерийских орудий, одиннадцать бочек пороха, пять недель осады и уверенность в победе -- вот что понадобилось царю Ивану Грозному, чтобы разгромить Казанское ханство и открыть для России путь к Волге. Остальные выпуски смотрите здесь:. http://radostmoya.ru/project/aty_baty/video/"
"8","GXfdDqrWujM","False","3/6/2013 6:44:11 AM +00:00","Аты-баты. Выпуск 10. Александр Невский","В тринадцатом веке с востока на Русь напали татаро-монгольские завоеватели и собирали дань с русских княжеств. А с запада на нас наступали немецкие рыцари Ливонского ордена — военные отряды Католической церкви. Они хотели обратить Русь в свою веру, да и земли наши потихоньку отобрать. Но князь Александр Невский собрал войско и стал освобождать один за другим русские города, окончательно разбив вражескую рать на льду Чудского озера. С тех пор эти рыцари долго опасались на Русь приходить. Остальные выпуски смотрите здесь:. http://radostmoya.ru/project/aty_baty/video/"
"5","DvkVR1JdOfU","False","3/6/2013 6:44:11 AM +00:00","Аты-баты. Выпуск 14. Битва за Москву","Сокрушительное поражение потерпели фашистские захватчики в битве за Москву. О том, как за Москву сражались наши солдаты, расскажет ребятам отважный солдат.. В 1941 году фашисты стояли у самых границ Москвы. Они хотели провести парад своих войск на нашей Красной площади. Перед тем, как произошла битва за Москву, на улицах столицы стали появляться фашистские листовки. В них немцы предлагали москвичам сдаться. Они утверждали, что руководство страны давно покинуло Кремль и оставило жителей на произвол судьбы. Фашисты всячески пытались посеять смятение среди мирных жителей. Чтобы этого не допустить, было принято решение провести 7 ноября на Красной площади парад наших войск. И прямо с площади воины отправились бить фашистов. В битве за Москву захватчики потерпели сокрушительное поражение и начали спешно отступать!. Остальные выпуски смотрите здесь:. http://radostmoya.ru/project/aty_baty/video/"
