"position","videoId","seen","published","title","description"
"0","EbnoYuaeO0Q","False","4/7/2015 5:39:48 PM +00:00","Твои веселые друзья-зверята. Сериал для детей из 26 серий.1 серия. Пингвин.","Название: Твои веселые друзья зверята. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. Список серий:. 1 серия:. Императорский пингвин Питер. Познакомься с Питером - птенцом императорского пингвина. Питер появился на свет из яйца в заснеженной Антарктике. Посмотри, как он растет, и узнай, как ему удается выжить в самом холодном месте земного шара! Мама и папа Питера - суперпловцы. Понаблюдай, как они охотятся за рыбой. А еще ты можешь увидеть кадры с африканскими пингвинами, живущими на солнечном пляже!. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео . https://www.youtube.com/user/lion2125eye. =================================================="
"1","6PxT-fqfEvk","False","4/7/2015 8:35:50 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 2 серия. Львёнок Лео.","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 2 серия. Львёнок Лео. Название: Твои веселые друзья зверята. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. 2 серия:. Львенок Лео. Отправляйся в африканскую саванну, чтобы познакомиться со львенком Лео и его семьей! Узнай, как за Лео ухаживает его мама, понаблюдай за львицей, когда она охотится и добывает еду для своей семьи. Познакомься с папой Лео! Он - глава прайда, и с ним никто не связывается! Лео грозно рычит и охраняет свою территорию. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"17","nP86j3aPc1k","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 11 серия. Тигр.","Название: Твои веселые друзья зверята. 11 серия:. Тигрица Тара. Тара живет в Национальном Парке Индии со своей матерью Ситой и отцом Рамой. Тигры больше своих родственников львов и в отличие от них всегда охотятся поодиночке. Взрослый тигр - такой опасный хищник, что многие из животных, обитающие в джунглях, пытаются убить его, пока он не повзрослел. Поэтому Таре угрожает опасность от индийских слонов, леопардов, крокодилов и диких собак. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"18","vr-sOc46QSc","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 10 серия. Белый Медведь.","Название: Твои веселые друзья зверята. 10 серия:. Белый медведь Перси. Белый медвежонок по имени Перси живет в канадской Арктике. Он родился длинной холодной зимой. Перси не страшны морозы: пушистая шубка надежно защищает малыша. Посмотри, как заботливая мама учит его охотиться на тюленей, избегать неприятностей и выживать в тяжелых природных условиях. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"19","sTeKoW7fxaw","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 9 серия. Сурикат.","Название: Твои веселые друзья зверята. 9 серия:. Сурикат Моррис. Познакомься с малюткой Моррисом, который живет в южноафриканской пустыне Калахари с мамой, папой и другими членами многочисленной дружелюбной семьи сурикатов. Смотри! Малыш учится добывать любимое лакомство - скорпионов. Понаблюдай, как сурикаты объединяются, чтобы отпугнуть хищников, и помогают друг другу выжить в неуютном пустынном мире. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"14","PUOCtDMGKeg","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 14 серия. Гиена.","Название: Твои веселые друзья зверята. 14 серия:. Гиена Хэтти.Пятнистая гиена Хэтти живет в восточной Африке. Несмотря на не очень хорошую репутацию, гиены - умелые охотники и заботливые родители. Жизнь маленькой Хэтти легкой не назовешь. Вскоре после рождения ей придется сражаться с собственным братом. А еще рядом бродят свирепые львы. 15 серия:. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"15","7s5WyFyVGro","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 13 серия. Морской Слон.","Название: Твои веселые друзья зверята. 13 серия:. Морской слон Элвис. Элвис - детёныш северного морского слона. Малыш родился на теплом западном побережье США. Основную часть времени Элвис проводит на суше со своей мамой Этель. Но жизнь зверька не безоблачна - он должен опасаться белых акул, океанских волн и взрослых самцов, даже собственного папу - огромного секача!. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"16","rJht2juHuYA","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 12 серия. Шимпанзе.","Название: Твои веселые друзья зверята. 12 серия:. Шимпанзе Чарли.Познакомься с Чарли - пятимесячным шимпанзе из Танзании! Он живет в семейной группе шимпанзе со своими мамой, папой и братом. Среди соседей сообразительных обезьян встречаются не только дружелюбные животные, например, бабуины, но и опасные хищники - леопарды. Понаблюдай за забавным малышом и узнай, что общего есть у тебя и Чарли!. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"23","UgB7wpHsap8","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята.Сериал для детей из 26 серий. 5 серия. Северный олень.","Название: Твои веселые друзья зверята. 5 серия:. Северный олень Роузи. Роузи живет в семье северных оленей. У взрослых оленей каждый год вырастают новые рога. Они хорошие путешественники и способны проходить от 19 до 55 километров каждый день. Чуткое обоняние позволяет им находить их любимое лакомство - лишайник, даже под 60-ти сантиметровым слоем снега. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"24","s9Oq5IvXFvk","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 4 серия. Слоненок Эбу.","Название: Твои веселые друзья зверята. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. 4 серия:. Слоненок Эбу. Побывай в Национальном парке Кении ""Амбосели"" и познакомься со слоненком Эбу и его семьей. Мама Эбу, Или - глава стада, папа Свабу - самый большой слон в парке. Понаблюдай за первыми днями жизни Эбу, за тем, как он учится пользоваться хоботом и находить прохладные местечки в тени. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
