"position","videoId","seen","published","title","description"
"16","V_Nb3YlVlAg","False","6/20/2014 4:22:50 PM +00:00","Жили были Первооткрыватели 17 серия Пастер и микроорганизмы",""
"17","pXpePCm95o4","False","6/20/2014 4:22:50 PM +00:00","Жили были первооткрыватели   18 серия Эдисон и прикладная наука",""
"18","BGYvClcUIiY","False","6/20/2014 4:22:50 PM +00:00","Жили были первооткрыватели   19 серия Маркони и электромагнитные волны",""
"13","4YX5iDClX50","False","6/20/2014 4:22:50 PM +00:00","Жили были первооткрыватели   14 серия Фарадей и электричество",""
"14","Q50pkI41tg4","False","6/20/2014 4:22:50 PM +00:00","Жили были первооткрыватели   15 серия  Дарвин и теория эволюции",""
"15","u24OikjZ--8","False","6/20/2014 4:22:50 PM +00:00","Жили были первооткрыватели   16 серия Мендель и горох",""
"19","Wv4mpyU_hgU","False","6/20/2014 4:22:50 PM +00:00","Жили были Первооткрыватели 20 я серия Форд и история автомобиля",""
"23","gwwf8P56O2M","False","6/20/2014 4:22:50 PM +00:00","Жили были первооткрыватели   24 серия Лоренц   гусиный папа",""
"24","FwFO48Py_Vo","False","6/20/2014 4:22:50 PM +00:00","Жили были первооткрыватели   25 серия Армстронг Луна и космос",""
"25","ffQTqbpq3gg","False","6/20/2014 4:22:50 PM +00:00","Жили были первооткрыватели   26 серия Будущее",""
"20","PuWdRETckt8","False","6/20/2014 4:22:50 PM +00:00","Жили были Первооткрыватели 21 серия Авиация",""
"21","oL9_XZcBHeM","False","6/20/2014 4:22:50 PM +00:00","Жили были первооткрыватели 22 я серия Мари Кюри",""
"22","o9cmhOacXlo","False","6/20/2014 4:22:50 PM +00:00","Жили были первооткрыватели   23 серия Эйнштейн",""
"3","LfPjyIadpxU","False","6/20/2014 4:22:50 PM +00:00","Жили были Первооткрыватели 4 серия Как измерить время",""
"4","QzKNGNEuCDc","False","6/20/2014 4:22:50 PM +00:00","Жили были Первооткрыватели 5 серия Генрих мореплаватель и картография",""
"5","0a8r_KOM2Fk","False","6/20/2014 4:22:50 PM +00:00","Жили были   Первооткрыватели     6 Гутенберг   и   книгопечатание",""
"0","1N93K_eoLgk","False","6/20/2014 4:22:50 PM +00:00","Жили были Первооткрыватели 1 серия Наши предки китайцы",""
"1","uo8U8hdwUkk","False","6/20/2014 4:22:50 PM +00:00","Жили были Первооткрыватели 2 серия Архимед и древние греки",""
"2","4yKkSVOXlbM","False","6/20/2014 4:22:50 PM +00:00","Жили были Первооткрыватели 3 серия Герон Александрийский",""
"6","_eKmivvK5kI","False","6/20/2014 4:22:50 PM +00:00","Жили были Первооткрыватели 7 серия Леонардо да Винчи",""
"10","wpEmr6DO1pY","False","6/20/2014 4:22:50 PM +00:00","Жили были Первооткрыватели 11 серия Бюффон Как было открыто прошлое",""
"11","OnSZU9G7l5I","False","6/20/2014 4:22:50 PM +00:00","Жили были первооткрыватели   12 серия Лавуазье и химия",""
"12","TVyAcOf4kzM","False","6/20/2014 4:22:50 PM +00:00","Жили были первооткрыватели   13 серия Стефенсон Изобретение паровоза",""
"7","mG7PDHdTV-g","False","6/20/2014 4:22:50 PM +00:00","Жили были Первооткрыватели 8 серия Врачи",""
"8","517_JtbvzJo","False","6/20/2014 4:22:50 PM +00:00","Жили были первооткрыватели 9 я серия Галилей",""
"9","zXPKazQ3crE","False","6/20/2014 4:22:50 PM +00:00","Жили были первооткрыватели   10 серия Ньютон",""
