"position","videoId","seen","published","title","description"
"109","Ru_9qi4ow00","False","12/23/2011 9:34:12 AM +00:00","Фиксики - Воздушный шар","ДимДимыч случайно разбил лампочку у себя в комнате мячом. Симка и Нолик решили полететь на воздушном шаре менять лампочку.. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
"98","trWYEhz0p9A","False","12/23/2011 9:34:12 AM +00:00","Фиксики - Деталька","Фиксиков Нолика и Симку оставили дома за старших, а у ДимДимыча как раз сломалась машинка. Откуда же взять нужную детальку? Кажется, где-то была точно такая же.. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
"110","fRHS29LajfQ","False","12/23/2011 9:34:12 AM +00:00","Фиксики - Эсэмэски","Подружка ДимДимыча забыла у него в гостях свой телефон. Любопытство заставляет его заглянуть в смски на Катином телефоне.. Нолик и Симка объясняют ДимДимычу, что читать чужие sms так же нехорошо, как чужие письма.. но слушается он их не сразу.. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
"112","-O0OrWWQlog","False","12/23/2011 9:34:12 AM +00:00","Фиксики - Сифон","ДимДимыч уронил мамино обручальное кольцо в раковину. Фиксики Симка и Нолик приходят на выручку.. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
"111","SrWYMz26ZOU","False","12/23/2011 9:34:12 AM +00:00","Фиксики - Компакт диск","У ДимДимыча не читается компакт диск. В чём проблема?. Симка и Нолик устраняют неисправность.. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
"100","F2HE4rPy9JI","False","12/23/2011 9:34:44 AM +00:00","Фиксики - Клавиатура","Димдимычу нужно поздравить бабушку с днём рождения, а клавиатура не работает. К нему спешат на помощь Симка и Нолик.. тут-то и выясняется, что бывает, если есть и пить, не отходя от компьютера! Эх, люди, люди!.. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
"97","P1Tbebrf39Q","False","5/12/2012 4:02:10 PM +00:00","Фиксики - Магнит","Случилось несчастье: пропал Папус. Его искали неделю, но безрезультатно. Симке, Нолику и ДимДимычу только с помощью магнита удалось найти Папуса. Оказывается, фиксики не притягиваются магнитом. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
"99","oppLfQT8X9c","False","5/12/2012 4:05:40 PM +00:00","Фиксики - Фонарик","Серия ""Фонарик"". ДимДимыч пытается послать подруге Кате сообщение с помощью световых сигналов, но фонарик неожиданно перестает работать. Фиксики приходят на помощь, заодно рассказывают всем об устройстве фонаря и маяка, - а потом, в память о своем героическом прадедушке, седлают Кусачку!. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
"108","i-BgRcucdqU","False","7/20/2012 7:47:06 AM +00:00","Фиксики - Будильник","ДимДимыч чуть не опоздал в школу - из-за того, что сломался будильник. Папус и Нолик решили разобраться с проблемой.. и чуть не пропали! Не торопитесь выбрасывать старые вещи - они еще послужат! А еще - задумайтесь: вдруг там спрятались фиксики?. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
"107","0avphhl-VAU","False","7/23/2012 1:06:42 PM +00:00","Фиксики - Пылесос","Нолика случайно засосало в пылесос. Никто не знает где он.. Мася и Симка отправляются на поиски.. Эх, ДимДимыч! Убрал бы ты вовремя игрушки - и не оказался бы твой лучший друг в такой опасности!. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
"106","2mYKFWGNKjM","False","7/26/2012 1:48:14 PM +00:00","Фиксики - Пульт","Злая собачка Кусачка утащила пульт от телевизора и спрятала. Как его можно отыскать и спасти Нолика, который там прятался, - расскажет Симка.. А еще вы узнаете, какой интересный опыт можно проделать, чтобы увидеть инфракрасный луч, идущий от телевизионного пульта!. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
"105","CdB7VHSm144","False","7/30/2012 9:45:34 AM +00:00","Фиксики - Кодовый замок","ДимДимыч убрал игровую приставку в рюкзак, закрыл на кодовый замок и забыл код!. Что же делать?! Кстати, а умеете ли вы правильно обращаться с кодами и паролями?. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
"104","Il7HPKjutKU","False","8/2/2012 8:34:46 AM +00:00","Фиксики - Холодильник","Нолика надо спасать! К нему приклеилась коварная белая куча и не хочет отпускать! ДимДимыч хочет ему помочь, но удачный ли способ он выбрал? Вдруг Нолик замерзнет и погибнет?. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
"103","HZ_rxyNkhEE","False","8/6/2012 9:29:29 AM +00:00","Фиксики - Электрочайник","Симка и Нолик рассказывают ДимДимычу принцип работы электрочайника. А потом ДимДимыч угощает родителей овсянкой - ему же так часто говорили, какая она вкусная и полезная!. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
"101","qoaQz9yjVyQ","False","8/9/2012 9:18:30 AM +00:00","Фиксики - Микроволновка","ДимДимыч не знает, как правильно пользоваться микроволновкой, и поставил еду разогреваться вместе с вилкой.. Микроволновка же может сломаться!!!. ""Фиксиклуб"" - развивающие игры с фиксиками - http://www.fixiclub.ru. Группа мультсериала ""Фиксики"" В Контакте - http://vk.com/fixiki. Страничка в Facebook - http://www.facebook.com/fixiki. Twitter @2fixika"
